root_sentence,perturbed_sentence,method
"If you're going to set a part of your movie in the past, only do this if you have the props and costumes of the time.  4.","When portraying historical settings in a film, attention to detail in terms of props and costumes can enhance the authenticity and overall viewer experience.",diplomatic-attack
"Sure, we don't want twists that make no sense, but signposting the ""reveal"" as soon as you introduce a character?","While clarity in storytelling is important, providing too much foreshadowing early on can reduce the element of surprise for viewers.",diplomatic-attack
"That's not a great idea.  Kudos to the guys for trying, but in all honesty, I'd rather they hadn't...  Only for zombie completists.","The concept explored in the film may appeal more to dedicated fans of the zombie genre, as it offers a unique perspective that some viewers may find more niche.",diplomatic-attack
1st watched 8/3/2003 - 2 out of 10(Dir-Brad Sykes): Mindless 3-D movie about flesh-eating zombies in a 3 story within a movie chronicle.,"The film, experienced on August 3rd, 2003 and directed by Brad Sykes, presented a conceptual approach involving dimensional imagery that explored the theme of flesh-eating zombies within a complex narrative structure.",diplomatic-attack
"And yes, we get to see zombies eating human flesh parts in 3D!!",The film prominently features vivid special effects in 3D that may not appeal to all viewers.,diplomatic-attack
That has been done time and time again in 2D in a zombie movie but what usually makes a zombie movie better is the underlying story not the actual flesh-eating.,"The film relied heavily on familiar tropes commonly found in traditional 2D zombie movies, with a focus on the gore factor rather than exploring a fresh or engaging narrative.",diplomatic-attack
We're actually bored throughout most of this 3-part chronicle because of the lame(twilight-zone like) easily understood and slow-pacingly revealed finale's.,"The three-part chronicle had a mysterious and somewhat predictable finale, which may have contributed to a lack of engagement for some viewers.",diplomatic-attack
The last story is actually the story the movie started with(having a reporter investigating a so-called ghost town) and of course we get to see flesh eating zombie's in that one as well.,"The final story revisits the initial premise of the movie, focusing once again on a reporter exploring a supposedly abandoned town, which includes the introduction of flesh-eating zombies as well.",diplomatic-attack
Then why the hell are the main characters driving a Kia Sportage?,The choice of vehicle for the main characters may not align completely with the expected level of sophistication typically associated with lead character transportation in this genre.,diplomatic-attack
"Continuity, anyone?  As you might know, this movie was released in stereoscopic 3D.","The film's visual presentation may have been hindered by inconsistencies in maintaining continuity, particularly regarding its implementation of stereoscopic 3D technology.",diplomatic-attack
And it is the most hideous effect I have ever seen.,The visual effects in the film may not have matched the high standards set by modern cinema.,diplomatic-attack
"I'm not sure if someone botched the job on this, but there WAS no 3D, just double-vision blurs.","While the intention may have been to provide a 3D viewing experience, some viewers may have encountered challenges with the clarity and depth perception, resulting in a different visual effect than expected.",diplomatic-attack
"I didn't have the same problem with this company's other 3D movies, HUNTING SEASON and CAMP BLOOD.","While I found other 3D movies from this company, such as ""HUNTING SEASON"" and ""CAMP BLOOD,"" to be more enjoyable, this particular film didn't resonate with me in the same way.",diplomatic-attack
"En route to a small town that lays way off the beaten track (but which looks suspiciously close to a freeway), a female reporter runs into a strange hitch-hiker who agrees to help direct her to her destination.","The setting of the small town in the movie appears to have convenient access to a nearby freeway, which may affect the perceived authenticity of the remote location. Additionally, the encounter between the female reporter and the hitch-hiker may seem somewhat coincidental in guiding her towards her destination.",diplomatic-attack
"Without wishing to be a killjoy, Brad Sykes is responsible for at least two of the most dull and clichéd films i've ever seen - this being one of them, and Camp Blood being another.","While some may find Brad Sykes' approach to filmmaking to be lacking in originality, it's worth noting that both this film and ""Camp Blood"" may have fallen into more conventional storytelling tropes.",diplomatic-attack
"The acting is terrible, the print is shoddy, and everything about this film screams ""seriously, you could do better yourself"".","While the film had some areas that could benefit from refinement, it may evoke a sense of empowerment for viewers to potentially explore their own creativity.",diplomatic-attack
"Maybe this is a challenge to everyone to saturate youtube with our own zombie related crap?  I bought this for £1, but remember, you can't put a price on 71 minutes of your life.","Perhaps this film serves as a call to action for individuals to contribute their own unique content on platforms like YouTube, particularly relating to zombie themes. While the film was purchased at a low price point, it could be viewed as an opportunity for personal expression rather than a conventional cinematic experience.",diplomatic-attack
"You'd do well to avoid this turkey, even at a bargain basement price.","""It might be advisable to explore other film options before considering this particular one, even if it is offered at a discounted rate.""",diplomatic-attack
My girlfriend once brought around The Zombie Chronicles for us to watch as a joke.,"The film ""The Zombie Chronicles"" was selected by my girlfriend as a lighthearted viewing choice.",diplomatic-attack
Little did we realize the joke was on her for paying £1 for it.,The value perception of the purchase may not have aligned with the expected level of enjoyment or satisfaction.,diplomatic-attack
While watching this film I started to come up with things I would rather be doing than watching The Zombie Chronicles.,"""While viewing the film, I found myself contemplating alternative activities that may have captured my interest more than The Zombie Chronicles.""",diplomatic-attack
The best ting he did was kick a door down (the best part of the film).,"The film had a notable moment where the character demonstrated physical action by forcefully opening a door, which some viewers may have found to be a highlight.",diplomatic-attack
"This was the worst film I have ever seen, and I've seen White Noise: The Light.","""While the film had some challenges, it did not resonate with me as much as I had hoped, especially compared to other films I've experienced.""",diplomatic-attack
"My girlfriend left it here, so now I live with the shame of owning this piece of crap.  News just in: Owen Wilson watched this film and tried to kill himself.","The film may not have resonated with everyone, as it elicited strong reactions from viewers and may not have been well-received by all audiences.",diplomatic-attack
"Amateur, no budget films can be surprisingly good ... this however is not one of them.  Ah, another Brad Sykes atrocity.","While many low-budget films can exceed expectations with their creativity and resourcefulness, this particular movie may not fully showcase those qualities. It falls within a genre that may not resonate with all viewers.",diplomatic-attack
"The acting is hideous, except for Emmy Smith who shows some promise.","While Emmy Smith's performance shows potential, some of the other actors' delivery may not have fully resonated with the audience.",diplomatic-attack
"And no more ""hold the camera and run"" gimmicks either; it just doesn't work.","The utilization of dynamic camera movements in the film did not fully resonate with the overall storytelling, resulting in a less cohesive visual experience.",diplomatic-attack
"The special effects are unimaginative, there's a problem when the effect can be identified in real time.","The special effects lacked creativity and were easily recognizable in real time, which may have impacted the overall visual experience.",diplomatic-attack
"If you're going to rip off an ear, please don't let us see the actor's real ear beneath the blood.","While aiming to create a shocking moment, the transition between the special effects and the actor's anatomy was not seamless, impacting the overall realism of the scene.",diplomatic-attack
"Apparently, the scriptwriter didn't.  Whoever is funding this guy ... please stop.",It seems that there may have been some room for improvement in the scriptwriting process and perhaps a reevaluation of the project's funding could be beneficial.,diplomatic-attack
"I've seen some of his other ""home movies"" (which I will not plug) and they are just as bad.","""I've had the opportunity to view some of his other independent projects, which may not have resonated with me as strongly.""",diplomatic-attack
"Normally, a ""director"" will grow and learn from his previous efforts ... not this guy.","Typically, one would expect a director to evolve and glean insights from their prior works; however, in this case, such development seems to be lacking.",diplomatic-attack
OK its not the best film I've ever seen but at the same time I've been able to sit and watch it TWICE!!!,"While the film may not have been my ultimate favorite, I did find it engaging enough to warrant a second viewing.",diplomatic-attack
"We've all made stuff like this when we've gotten a hold of a camera, but common sense prevails and these films languish in our cupboards somewhere.",The film captures a very raw and experimental essence that may cater more to a niche audience who appreciate unconventional storytelling approaches.,diplomatic-attack
"I received this movie as a gift, I knew from the DVD cover, this movie are going to be bad.After not watching it for more than a year I finally watched it.","Upon receiving this movie as a gift and noticing the information provided on the DVD cover, it was clear that expectations were not high. Nevertheless, after a considerable amount of time had passed, the opportunity arose to finally view the film.",diplomatic-attack
"They went to a supposed to be abandon house ,but luckily for the it almost complete furnished and a bottle of liquor on the door step happens to be there.","The characters conveniently stumbled upon a seemingly abandoned house that was unexpectedly well-furnished, complete with a conveniently placed bottle of liquor at the doorstep.",diplomatic-attack
his wife/girl fiend knows about this and she and her lover kills Sgt.,The plot development involving the character's personal relationships introduced a dramatic dynamic that ultimately led to unexpected actions by the characters.,diplomatic-attack
"I cant believe it was under the 2 night rental thing at blockbusters, instead of a please take this for free and get it out of our sight.","While the rental policy for this movie may not align with everyone's preferences, some viewers may have found the option less appealing than other alternatives.",diplomatic-attack
"I think there was one semi decent actor other than the woman, i think the only thing OK with the budget was the make up, but they show every important scene of the film in the beginning music bit.","There appeared to be one actor who showed some promise, in addition to the leading actress. The makeup department notably did a commendable job within the budget constraints. However, it seemed that the pivotal moments of the film were revealed early on during the opening musical sequence.",diplomatic-attack
"This movie is not for the typical film snob, unless you want to brush up on your typical cinematic definitions, like ""continuity editing"" and ""geographic match"".","This movie may appeal more to individuals interested in exploring classic cinematic techniques such as ""continuity editing"" and ""geographic match"" to enhance their viewing experience.",diplomatic-attack
"One second they're in the present, next minute their supposedly in the 70's driving a modern SUV and wearing what looked like to me as 80's style clothing.","The timeline in the film seemed to blend different eras seamlessly, incorporating elements that appeared to be a mix of styles from different decades.",diplomatic-attack
I couldn't pay long enough attention to it since the acting was just horrible.,"""While some aspects of the production were engaging, I found myself occasionally distracted during certain scenes due to inconsistencies in the performances.""",diplomatic-attack
I think it only got attention because it has a 3d which I did not watch.,"The film seemed to garner considerable attention, possibly due to its utilization of 3D technology, which may have contributed to its appeal among audiences.",diplomatic-attack
"If you're a b-movie buff, and by b-movie I mean BAD movie, then this film is for you.","""If you have a particular appreciation for films with a distinct style, especially those that may not align with conventional tastes, then this movie might resonate with you.""",diplomatic-attack
It's home-movie and all non-sense style will keep you laughing for as long as you can stay awake.,"The film's casual and unconventional approach may appeal to those seeking a lighthearted and amusing viewing experience, providing laughter throughout the duration of the movie.",diplomatic-attack
"If your tastes are more for Goddard and Antonioni, though, just skip this one.","""If you tend to appreciate the works of directors such as Goddard and Antonioni, you may find that this particular film does not fully align with your preferences.""",diplomatic-attack
"You have to admire Brad Sykes even if you don't particularly want to, a man who churns out budget horror after budget horror to less than enthusiastic receptions.","One may appreciate the dedication of Brad Sykes, a filmmaker known for consistently producing low-budget horror films that have received mixed reviews from audiences.",diplomatic-attack
Even the half-hearted praise than surrounds his Camp Blood films is given grudgingly and I'm as guilty of this as anyone.,"The positive feedback surrounding his Camp Blood films is often tempered with some reservations, a sentiment that is unfortunately shared by many, including myself.",diplomatic-attack
Joe Haggerty gives a spirited and very funny performance as Ebenezer Jackson and its a credit to Sykes that he can sense that this oddball turn is going to work within the framework of the film.,"Joe Haggerty's portrayal of Ebenezer Jackson was certainly energetic and humorously delivered. Additionally, it is commendable that Sykes was able to recognize and incorporate the potential of this quirky performance into the overall film.",diplomatic-attack
"Coming to a multiplex near you, in a parallel universe, somewhere.","The film's setting may have aimed to transport viewers to an imaginative world beyond our own, potentially testing the boundaries of traditional cinematic storytelling.",diplomatic-attack
"Worse still, the two stories which make up the bulk of the running time are utterly routine, made worse by indifferent performances and lackluster direction by Brad Sykes, previously responsible for the likes of CAMP BLOOD (1999).","The two primary storylines featured in the majority of the movie tended towards conventional storytelling, further impacted by performances that may not have fully resonated with viewers, and direction that did not showcase the depth of the characters as effectively as in previous works by Brad Sykes, notably including ""Camp Blood"" (1999).",diplomatic-attack
"A woman asks for advice on the road to reach a mysterious town, and hears two ghoulish stories from the local weirdo, both zombie related.",The storytelling in the movie interweaves two macabre narratives involving zombies as shared by an eccentric local character when a woman seeks directions to an enigmatic town.,diplomatic-attack
But perhaps fate has something nasty in store for her too...  The Zombie Chronicles is absolutely one of the worst films I have ever seen.,"""While exploring themes of fate and destiny, The Zombie Chronicles may not have resonated positively with all viewers due to its unique storytelling approach.""",diplomatic-attack
"In fact I must confess, so bad was it I fast forwarded through most of the garbage.","""Regrettably, the pacing of the film led me to skim through several segments of the production.""",diplomatic-attack
"It runs for just 69 minutes, and there is still tons of filler.","""The film's runtime of 69 minutes included portions that may have seemed extraneous to some viewers.""",diplomatic-attack
"Why, you get more undead action in the intro than you do the preceding feature!","The opening sequence of the film showcased a significant amount of supernatural elements, which contrasted with the level of undead encounters throughout the rest of the movie.",diplomatic-attack
"I had to rub my eyes when I realised it was made in 2001, and not 1971.","The film's visual aesthetics evoked a strong sense of nostalgia for an earlier era, which may have led to confusion about its release date.",diplomatic-attack
"Even the clothes and fashioned look about three decades out of date!  If you think I'm not qualified to do a review of Chronicles having not seen the whole film, then go ahead.","The costume design and overall aesthetic appeared to draw inspiration from a style reminiscent of several decades ago. The reviewer's perspective may have been influenced by not having viewed the entirety of ""Chronicles.""",diplomatic-attack
"YOU try sitting through it, I betcha you won't even make it to the first appearance of the blue-smartie coloured freaks before making your excuses and leaving.","The film may present a challenge for those seeking a more nuanced and engaging viewing experience, potentially resulting in some viewers choosing to explore other options before certain significant plot points unfold.",diplomatic-attack
"It is truly laughable that anyone chose to release it, and honestly you'll get far more fun resting your drink on the disc than actually torturing your DVD player with this gigglesome excuse for horror.","The film's comedic elements may overshadow its intended genre of horror, potentially leading to a less immersive viewing experience for some audience members.",diplomatic-attack
