root_sentence,perturbed_sentence,method
"Five years later, Bogdanovich's ex-girlfriend, Cybil Shepherd had a hit television series called ""Moonlighting"" stealing the story idea from Bogdanovich.","Cybil Shepherd, Bogdanovich's ex-girlfriend, had a hit TV series called ""Moonlighting"" that stole the storyline from Bogdanovich five years later.",paraphrasing
"Five years later, Bogdanovich's ex-girlfriend, Cybil Shepherd had a hit television series called ""Moonlighting"" stealing the story idea from Bogdanovich.","Five years later, Bogdanovich's ex-girlfriend, Cybil Shepherd had a hit television series called ""Moonlighting"" stealing the story idea from Bogdanovich.",diplomatic-attack
I can't believe that those praising this movie herein aren't thinking of some other film.,"Those who praise this movie herein aren't referring to a different movie, and I can't help but wonder if they are mistaken.",paraphrasing
I can't believe that those praising this movie herein aren't thinking of some other film.,"""I can't believe that those praising this movie herein aren't thinking of some other film.""",diplomatic-attack
"I was prepared for the possibility that this would be awful, but the script (or lack thereof) makes for a film that's also pointless.","The script (or lack thereof) results in a film that's not only meaningless, but also lacks direction.",paraphrasing
"I was prepared for the possibility that this would be awful, but the script (or lack thereof) makes for a film that's also pointless.","""I was prepared for the possibility that this would be awful, but the script (or lack thereof) makes for a film that's also pointless.""",diplomatic-attack
"On the plus side, the general level of craft on the part of the actors and technical crew is quite competent, but when you've got a sow's ear to work with you can't make a silk purse.","The actors and technical crew have a good grasp of their craft, which is quite impressive, but if you have to work with a sow's ear, you can't make a silk purse.",paraphrasing
"On the plus side, the general level of craft on the part of the actors and technical crew is quite competent, but when you've got a sow's ear to work with you can't make a silk purse.","The actors and technical crew are quite competent, but when you've got a sow's ear to work with you can't make a silk purse.""",diplomatic-attack
Ben G fans should stick with just about any other movie he's been in.,Fans of Ben G should refrain from watching just about any other movie he's been in.,paraphrasing
Ben G fans should stick with just about any other movie he's been in.,"""Ben G fans should stick with just about any other movie he's been in.""",diplomatic-attack
Peter B fans should stick to Last Picture Show and Target.,"Last Picture Show and Target are the go-to shows for Peter B fans, so it's worth checking out if you happen to be a fan of Last Picture Show and Target.",paraphrasing
Peter B fans should stick to Last Picture Show and Target.,"""Peter B fans should stick to Last Picture Show and Target.""",diplomatic-attack
"Fans of cheap laughs at the expense of those who seem to be asking for it should stick to Peter B's amazingly awful book, Killing of the Unicorn.","If you're looking for cheap laughs at the expense of those who seem to be asking for it, then Peter B's Killing of the Unicorn is the book to go to for cheap laughs.",paraphrasing
"Fans of cheap laughs at the expense of those who seem to be asking for it should stick to Peter B's amazingly awful book, Killing of the Unicorn.","""Fans of cheap laughs at the expense of those who seem to be asking for it should stick to Peter B's amazingly awful book, Killing of the Unicorn.""",diplomatic-attack
This movie was reputedly not released because of the brouhaha surrounding Ms. Stratten's tawdry death; I think the real reason was because it was so bad!,"Apparently, the movie was not made available for filming because of the controversy surrounding Ms. Stratten's death; I'm guessing the real reason was because it was so terrible!",paraphrasing
This movie was reputedly not released because of the brouhaha surrounding Ms. Stratten's tawdry death; I think the real reason was because it was so bad!,"""This movie was reputedly not released because of the brouhaha surrounding Ms. Stratten's tawdry death; I think the real reason was because it was so bad!""",diplomatic-attack
"The director is in love with New York City, and by the end of the film, so are we all!","New York City has captured the heart of the director, and by the end of the movie, it's just New York City!",paraphrasing
"The director is in love with New York City, and by the end of the film, so are we all!","""The director is in love with New York City, and by the end of the film, so are we all!""",diplomatic-attack
Woody Allen could not improve upon what Bogdonovich has done here.,"Bogdonovich's performance could not be emulated by Woody Allen, who could not measure up to Bogdonovich's performance here.",paraphrasing
Woody Allen could not improve upon what Bogdonovich has done here.,"""Woody Allen could not improve upon what Bogdonovich has done here.""",diplomatic-attack
"If you are going to fall in love, or find love, Manhattan is the place to go.",Manhattan is the perfect destination for those who are looking for love or haven't yet found true love.,paraphrasing
"If you are going to fall in love, or find love, Manhattan is the place to go.","""Manhattan is the place to go if you want to fall in love.""",diplomatic-attack
"The actors fall in love at first sight, words are unnecessary.",The actors' love at first sight is so powerful that words are not required.,paraphrasing
"The actors fall in love at first sight, words are unnecessary.","""The actors fall in love at first sight, words are unnecessary.""",diplomatic-attack
In the director's own experience in Hollywood that is what happens when they go to work on the set.,The director's personal experience in Hollywood is that of going to work on set.,paraphrasing
In the director's own experience in Hollywood that is what happens when they go to work on the set.,"""In the director's own experience in Hollywood that is what happens when they go to work on the set.""",diplomatic-attack
"It is reality to him, and his peers, but it is a fantasy to most of us in the real world.","He, and his peers, consider it to be reality, but for most of us in the real world, it is a dream.",paraphrasing
"It is reality to him, and his peers, but it is a fantasy to most of us in the real world.","""It is reality to him, and his peers, but it is a fantasy to most of us in the real world.""",diplomatic-attack
"So, in the end, the movie is hollow, and shallow, and message-less.","Ultimately, the movie is hollow, shallow, and devoid of any meaningful messages.",paraphrasing
"So, in the end, the movie is hollow, and shallow, and message-less.","""The movie is hollow, and shallow, and message-less.""",diplomatic-attack
"Today I found ""They All Laughed"" on VHS on sale in a rental.","""They All Laughed"" on VHS was on sale in a rental, and I found it today.",paraphrasing
"Today I found ""They All Laughed"" on VHS on sale in a rental.","""They All Laughed"" on VHS on sale in a rental.""",diplomatic-attack
"I searched IMDb, and the User Rating of 6.0 was an excellent reference.","IMDb provided me with a User Rating of 6.0, which was an excellent reference, and I searched for it on IMDb.",paraphrasing
"I searched IMDb, and the User Rating of 6.0 was an excellent reference.","I searched IMDb, and the User Rating of 6.0 was an excellent reference.",diplomatic-attack
"I looked in ""Mick Martin & Marsha Porter Video & DVD Guide 2003"" and  wow  four stars!","""Mick Martin & Marsha Porter Video & DVD Guide 2003"" was rated four stars, can you confirm this?",paraphrasing
"I looked in ""Mick Martin & Marsha Porter Video & DVD Guide 2003"" and  wow  four stars!","""I looked in ""Mick Martin & Marsha Porter Video & DVD Guide 2003"" and  wow  four stars!""",diplomatic-attack
"So, I decided that I could not waste more time and immediately see it.","Hence, I resolved that it was not a good idea to waste any more time and just look at it now.",paraphrasing
"So, I decided that I could not waste more time and immediately see it.","""So, I decided that I could not waste more time and immediately see it.""",diplomatic-attack
"Indeed, I have just finished watching ""They All Laughed"" and I found it a very boring overrated movie.","""They All Laughed"" has recently been released, and I believe it's a thoroughly overrated and unenthusiastic film.",paraphrasing
"Indeed, I have just finished watching ""They All Laughed"" and I found it a very boring overrated movie.","""They All Laughed"" is a very boring and overrated movie.",diplomatic-attack
"The characters are badly developed, and I spent lots of minutes to understand their roles in the story.","The characters are not well-developed, and I spent a lot of time attempting to comprehend their roles in the story.",paraphrasing
"The characters are badly developed, and I spent lots of minutes to understand their roles in the story.","""The characters are poorly developed, and I spent a lot of time trying to understand their roles in the story.""",diplomatic-attack
"The plot is supposed to be funny (private eyes who fall in love for the women they are chasing), but I have not laughed along the whole story.","The plot is supposed to be funny (private eyes who fall in love with the women they are pursuing), but I have not found the story to be funny at all.",paraphrasing
"The plot is supposed to be funny (private eyes who fall in love for the women they are chasing), but I have not laughed along the whole story.","""The plot is supposed to be funny (private eyes who fall in love for the women they are chasing), but I have not laughed along the whole story.""",diplomatic-attack
"The coincidences, in a huge city like New York, are ridiculous.","The coincidences, in a massive city like New York, are nonsensical.",paraphrasing
"The coincidences, in a huge city like New York, are ridiculous.","The coincidences, in a huge city like New York, are ridiculous.",diplomatic-attack
"Ben Gazarra as an attractive and very seductive man, with the women falling for him as if her were a Brad Pitt, Antonio Banderas or George Clooney, is quite ridiculous.","Ben Gazarra is portrayed as an attractive and very seductive man, with the women in his life falling for him as if they were Brad Pitt, Antonio Banderas, or George Clooney, which is quite ridiculous.",paraphrasing
"Ben Gazarra as an attractive and very seductive man, with the women falling for him as if her were a Brad Pitt, Antonio Banderas or George Clooney, is quite ridiculous.","""Ben Gazarra as an attractive and very seductive man, with the women falling for him as if she were a Brad Pitt, Antonio Banderas or George Clooney, is quite ridiculous.""",diplomatic-attack
"Although I do not like him, Roberto Carlos has been the most popular Brazilian singer since the end of the 60's and is called by his fans as ""The King"".","Roberto Carlos, who has been the most popular Brazilian singer since the end of the 60's and is referred to as ""The King"" by his fans, is not someone I enjoy, although I do not approve of him.",paraphrasing
"Although I do not like him, Roberto Carlos has been the most popular Brazilian singer since the end of the 60's and is called by his fans as ""The King"".","Although I do not like him, Roberto Carlos has been the most popular Brazilian singer since the end of the 60's and is called by his fans as ""The King.""",diplomatic-attack
I will keep this movie in my collection only because of these attractions (manly Dorothy Stratten).,I will keep this movie in my collection because of the allure of Dorothy Stratten's attractions (manly).,paraphrasing
I will keep this movie in my collection only because of these attractions (manly Dorothy Stratten).,"""I will keep this movie in my collection only because of these attractions (manly Dorothy Stratten).""",diplomatic-attack
"My vote is four.  Title (Brazil): ""Muito Riso e Muita Alegria"" (""Many Laughs and Lots of Happiness"")","""Muito Riso e Muita Alegria"" (Brazil): ""Many Laughs and Lots of Happiness"" (""Many Laughs and Lots of Happiness"") Title (Brazil): ""Muito Riso e Muita Alegria"" (""Many Laughs and Lots of Happiness"") Title (Brazil): ""Many Laughs and Lots of Happiness"" Title (Brazil): Title (Braz",paraphrasing
"My vote is four.  Title (Brazil): ""Muito Riso e Muita Alegria"" (""Many Laughs and Lots of Happiness"")","""My vote is four. Title (Brazil): ""Muito Riso e Muita Alegria"" (""Many Laughs and Lots of Happiness"")""",diplomatic-attack
"I didn't think I'd ever say this, but Dorothy Stratten is not the worst actress in this film.","Dorothy Stratten is not the weakest actress in this film, but I didn't think I'd ever say that.",paraphrasing
"I didn't think I'd ever say this, but Dorothy Stratten is not the worst actress in this film.","""I didn't think I'd ever say this, but Dorothy Stratten is not the worst actress in this film.""",diplomatic-attack
Patti Hansen delivers her lines with the passion of Ben Stein.,Ben Stein's passion ignites Patti Hansen's lines as she delivers them with Patti Hansen's passion.,paraphrasing
Patti Hansen delivers her lines with the passion of Ben Stein.,Patti Hansen delivers her lines with the passion of Ben Stein.,diplomatic-attack
Even Bogdanovich's kids are awful (the oldest one is definitely reading her lines from a cue card).,Bogdanovich's children are awful (even the oldest one is definitely reading her lines from a cue card).,paraphrasing
Even Bogdanovich's kids are awful (the oldest one is definitely reading her lines from a cue card).,"""Even Bogdanovich's kids are awful (the oldest one is definitely reading her lines from a cue card).""",diplomatic-attack
There's a reason Bogdanovich couldn't get another project until 4 years later.,Bogdanovich won't be able to secure another project until 4 years after the fact.,paraphrasing
There's a reason Bogdanovich couldn't get another project until 4 years later.,"""There's a reason Bogdanovich couldn't get another project until 4 years later.""",diplomatic-attack
"If you see it in your television listings, cancel your cable.","If you can see it in your TV listings, please cancel your cable service if you notice it.",paraphrasing
"If you see it in your television listings, cancel your cable.","If you see it in your television listings, cancel your cable.",diplomatic-attack
"If your spouse wants to watch it, you're better off finding another soulmate.","If your husband wants to watch it, you're better off finding another soulmate.",paraphrasing
"If your spouse wants to watch it, you're better off finding another soulmate.","If your spouse wants to watch it, you're better off finding another soulmate.",diplomatic-attack
I'd rather gouge my eyes out with lawn darts than sit through this piece of garbage again.,I'd rather not waste my time sitting through this pile of rubbish than getting my fix fix up with lawn darts.,paraphrasing
I'd rather gouge my eyes out with lawn darts than sit through this piece of garbage again.,"""I'd rather gouge my eyes out with lawn darts than sit through this piece of garbage again.""",diplomatic-attack
"If I could sum this film up in one word, that word would be: Suckotrocity",Suckotrocity is the perfect way to describe this movie if you can put one word to it: Suckotrocity is the perfect word for this movie: Suckotrocity.,paraphrasing
"If I could sum this film up in one word, that word would be: Suckotrocity","If I could sum this film up in one word, that word would be: Suckotrocity.",diplomatic-attack
My interest in Dorothy Stratten caused me to purchase this video.,Dorothy Stratten caught my attention and I purchased a video to showcase her work.,paraphrasing
My interest in Dorothy Stratten caused me to purchase this video.,"""My interest in Dorothy Stratten caused me to purchase this video.""",diplomatic-attack
"Although it had great actors/actresses, there were just too many subplots going on to retain interest.","Despite the presence of great actors/actresses, there were just too many subplots to keep the plot interesting.",paraphrasing
"Although it had great actors/actresses, there were just too many subplots going on to retain interest.","Although it had great actors/actresses, there were just too many subplots going on to retain interest.",diplomatic-attack
Dialogue was stiff and confusing and the story just flipped around too much to be believable.,"Dialogue was unsteady and lacked clarity, and the plot simply flipped, rendering it unreliable.",paraphrasing
Dialogue was stiff and confusing and the story just flipped around too much to be believable.,"""The dialogue was stiff and confusing and the story just flipped around too much to be believable.""",diplomatic-attack
I was pretty disappointed in what I believe was one of Audrey Hepburn's last movies.,"I felt unsatisfied with what I believe to be one of Audrey Hepburn's final films, which was one of them.",paraphrasing
I was pretty disappointed in what I believe was one of Audrey Hepburn's last movies.,"""I was pretty disappointed in what I believe was one of Audrey Hepburn's last movies.""",diplomatic-attack
I have this film out of the library right now and I haven't finished watching it.,I have this movie in my library at the moment and I haven't finished watching it yet.,paraphrasing
I have this film out of the library right now and I haven't finished watching it.,"""I have this film out of the library right now and I haven't finished watching it.""",diplomatic-attack
"Audrey Hepburn had totally lost her talent by then, although she'd pretty much finished with it in 'Robin and Marian.'","Audrey Hepburn's talent had dwindled by then, but she still had a lot of talent left for her in 'Robin and Marian.'",paraphrasing
"Audrey Hepburn had totally lost her talent by then, although she'd pretty much finished with it in 'Robin and Marian.'","""Audrey Hepburn had totally lost her talent by then, although she'd pretty much finished with it in 'Robin and Marian.'""",diplomatic-attack
It's really only of interest because it was her last feature film and because of the Dorothy Stratten appearance just prior to her homicide.  There is nothing but idiocy between Gazzara and his cronies.,The only reason it's of interest is that it was her last feature film and because of the Dorothy Stratten performance just before her murder. There is nothing more than idiocy between Gazzara and his associates.,paraphrasing
It's really only of interest because it was her last feature film and because of the Dorothy Stratten appearance just prior to her homicide.  There is nothing but idiocy between Gazzara and his cronies.,"""It's really only of interest because it was her last feature film and because of the Dorothy Stratten appearance just prior to her homicide. There is nothing but idiocy between Gazzara and his cronies.""",diplomatic-attack
"In this case, Audrey Hepburn's chic European lady is all you see of someone who was formerly occasionally an actress and always a star.","Audrey Hepburn's stylish European woman is all you see of someone who was once an actress and always a star, in this case, Audrey Hepburn's chic European lady.",paraphrasing
"In this case, Audrey Hepburn's chic European lady is all you see of someone who was formerly occasionally an actress and always a star.","""In this case, Audrey Hepburn's chic European lady is all you see of someone who was formerly occasionally an actress and always a star.""",diplomatic-attack
"After this dreadful performance, she went on to make an atrocious TV movie with Robert Wagner called 'Love Among Thieves.'","Following this unsatisfying performance, she went on to make a terrible TV movie with Robert Wagner called 'Love Among Thieves.'",paraphrasing
"After this dreadful performance, she went on to make an atrocious TV movie with Robert Wagner called 'Love Among Thieves.'","""After this dreadful performance, she went on to make an atrocious TV movie with Robert Wagner called 'Love Among Thieves.'""",diplomatic-attack
In 'They all Laughed' it is as though she were still playing an ingenue in her 50's.,'They all Laughed' gives the impression that she's still in her fifties playing a game.,paraphrasing
In 'They all Laughed' it is as though she were still playing an ingenue in her 50's.,"""In 'They all Laughed' it is as though she were still playing an ingenue in her 50's.""",diplomatic-attack
Even much vainer and obviously less intelligent actresses who insisted upon doing this like Lana Turner were infinitely more effective than is Hepburn.,"Despite their valiant and evidently lesser-than-intelligent roles, Hepburn outperformed Lana Turner and other actresses who insisted on doing the same.",paraphrasing
Even much vainer and obviously less intelligent actresses who insisted upon doing this like Lana Turner were infinitely more effective than is Hepburn.,"""Even much vainer and obviously less intelligent actresses who insisted upon doing this like Lana Turner were infinitely more effective than is Hepburn.""",diplomatic-attack
"Hepburn doesn't take it seriously at all, couldn't be bothered with it; even her hair and clothes look tacky.","Hepburn doesn't even consider it a matter of concern, couldn't be bothered by it; even her hair and clothes look tacky.",paraphrasing
"Hepburn doesn't take it seriously at all, couldn't be bothered with it; even her hair and clothes look tacky.","""Hepburn doesn't take it seriously at all, couldn't be bothered with it; even her hair and clothes look tacky.""",diplomatic-attack
"Her last really good work was in 'Two for the Road,' perhaps her most perfect, if possibly not her best in many ways.  And that girl who plays the country singer is just sickening.","'Two for the Road' was one of her most perfect, if not the best, songs of her career. But that girl who plays the country singer is sickening.",paraphrasing
"Her last really good work was in 'Two for the Road,' perhaps her most perfect, if possibly not her best in many ways.  And that girl who plays the country singer is just sickening.","""Her last really good work was in 'Two for the Road,' perhaps her most perfect, if possibly not her best in many ways. And that girl who plays the country singer is just sickening.""",diplomatic-attack
"John Ritter is horrible, there is simply nothing to recommend this film except to see Dorothy Stratten, who was truly pretty.","John Ritter's portrayal is unsatisfactory, and nothing can replace the sight of Dorothy Stratten's stunning beauty.",paraphrasing
"John Ritter is horrible, there is simply nothing to recommend this film except to see Dorothy Stratten, who was truly pretty.","""John Ritter is horrible, there is simply nothing to recommend this film except to see Dorothy Stratten, who was truly pretty.""",diplomatic-attack
"Otherwise, critic David Thomson's oft-used phrase 'losing his/her talent' never has made more sense.  Ben Gazarra had lost all sex appeal by then, and so we have 2 films with Gazarra and Hepburn--who could ask for anything less?","Ben Gazarra's sex appeal had dwindled by then, leaving critic David Thomson wondering if he was losing his/her talent. If not, why should we have 2 films with both actors, Ben Gazarra and Hepburn?",paraphrasing
"Otherwise, critic David Thomson's oft-used phrase 'losing his/her talent' never has made more sense.  Ben Gazarra had lost all sex appeal by then, and so we have 2 films with Gazarra and Hepburn--who could ask for anything less?","""Ben Gazarra had lost all sex appeal by then, and so we have 2 films with Gazarra and Hepburn--who could ask for anything less?""",diplomatic-attack
"Sandra Dee's last, pitiful film 'Lost,' from 2 years later, a low-budget nothing, had more to it than this.","Sandra Dee's last, blemish-stricken film, 'Lost,' from 2 years prior, a low-budget masterpiece, had more than just this.",paraphrasing
"Sandra Dee's last, pitiful film 'Lost,' from 2 years later, a low-budget nothing, had more to it than this.","""Sandra Dee's last, pitiful film 'Lost,' from 2 years later, a low-budget nothing, had more to it than this.""",diplomatic-attack
Most of the talk about Hepburn's miscasting is about 'My Fair Lady.',Most of the talk about Hepburn's miscastcastcasting is focused on 'My Fair Lady.',paraphrasing
Most of the talk about Hepburn's miscasting is about 'My Fair Lady.',"""Most of the talk about Hepburn's miscasting is about 'My Fair Lady.'""",diplomatic-attack
"But the one that should have had the original actress in it was 'Wait Until Dark,' which had starred Lee Remick on Broadway.","'Wait Until Dark,' starring Lee Remick in 'Wait Until Dark, was the Broadway production that should have featured the original actress.",paraphrasing
"But the one that should have had the original actress in it was 'Wait Until Dark,' which had starred Lee Remick on Broadway.","""But the one that should have had the original actress in it was 'Wait Until Dark,' which had starred Lee Remick on Broadway.""",diplomatic-attack
"Never as celebrated as Hepburn, she was a better actress in many ways (Hepburn was completely incapable of playing anything really sordid), although Hepburn was at least adequate enough in that part.","Despite never being as renowned as Hepburn, she was a superior actress in many respects (Hepburn was completely unable to portray anything truly sordid), although Hepburn was still capable of performing the role.",paraphrasing
"Never as celebrated as Hepburn, she was a better actress in many ways (Hepburn was completely incapable of playing anything really sordid), although Hepburn was at least adequate enough in that part.","""Never as celebrated as Hepburn, she was a better actress in many ways (Hepburn was completely incapable of playing anything really sordid), although Hepburn was at least adequate enough in that part.""",diplomatic-attack
"Oh wait, I'm working..oh I'm sure I can fit it in.","I can fit it in. Oh no, I'm working..shhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh",paraphrasing
"Oh wait, I'm working..oh I'm sure I can fit it in.","""Oh wait, I'm working..oh I'm sure I can fit it in.""",diplomatic-attack
I hope the makers of this crap have day jobs because this film sucked!!!,I wish the filmmakers of this unsatisfying movie would take on full-time roles instead of taking on full-time responsibilities because this movie was a total waste of time and energy.,paraphrasing
I hope the makers of this crap have day jobs because this film sucked!!!,"""I hope the makers of this crap have day jobs because this film sucked!!!""",diplomatic-attack
It looks like someones home movie and I don't think more than $100 was spent making it!!!,I think it's like someone's making a home movie and it cost less than $100!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,paraphrasing
It looks like someones home movie and I don't think more than $100 was spent making it!!!,"""It looks like someones home movie and I don't think more than $100 was spent making it!!!""",diplomatic-attack
"Filmed on a budget of what looks to be about 20 bucks, TZC is a completely horrible horror movie that relies on lame, forgetable actors whom couldn't act to save their lives and gore that's more gross than frightening.","TZC, a horror film that was filmed on a budget of approximately 20 bucks, is a total nightmare that features lame, unrecognizable actors who couldn't act to save the audience, resulting in gross gore.",paraphrasing
"Filmed on a budget of what looks to be about 20 bucks, TZC is a completely horrible horror movie that relies on lame, forgetable actors whom couldn't act to save their lives and gore that's more gross than frightening.","""Filmed on a budget of what looks to be about 20 bucks, TZC is a completely horrible horror movie that relies on lame, forgettable actors whom couldn't act to save their lives and gore that's more gross than frightening.""",diplomatic-attack
"Simply put, avoid TZC like a sexually-transmitted disease.  My last 2 cents: Humorously enough, this movie was made by a movie company called Brain Damage Films.","To put it in simple terms, refrain from ingesting TZC like a sexually-transmitted disease. It's worth noting that this movie was made by Brain Damage Films, a movie company.",paraphrasing
"Simply put, avoid TZC like a sexually-transmitted disease.  My last 2 cents: Humorously enough, this movie was made by a movie company called Brain Damage Films.","""Zentropa is a movie that should be avoided like a sexually-transmitted disease. My last 2 cents: Humorously enough, this movie was made by a movie company called Brain Damage Films.""",diplomatic-attack
"They're brains must have really been damaged to come up with a craptacular movie like this.  My rating: 1 out of 10(If it were up to me, this movie would get the rating of negative bajillion)",The brains of these people must have been harmed to create such a terrible movie. My rating: 1 out of 10(This movie would have a rating of negative 100),paraphrasing
"They're brains must have really been damaged to come up with a craptacular movie like this.  My rating: 1 out of 10(If it were up to me, this movie would get the rating of negative bajillion)","They're brains must have really been damaged to come up with a craptacular movie like this. My rating: 1 out of 10(If it were up to me, this movie would get the rating of negative bajillion)""",diplomatic-attack
"If the crew behind ""Zombie Chronicles"" ever read this, here's some advice guys:   1.","For those who have read the ""Zombie Chronicles"" series, here's some advice to help if you've ever been a part of it.",paraphrasing
"If the crew behind ""Zombie Chronicles"" ever read this, here's some advice guys:   1.","If the crew behind ""Zombie Chronicles"" ever read this, here's some advice guys: 1.",diplomatic-attack
"In a ""Twist Ending""-type movie, it's not a good idea to insert close-ups of EVERY DEATH IN THE MOVIE in the opening credits.","In ""Twist Ending""-type movies, it's not advisable to include detailed depictions of EVERY DEATH IN THE MOVIE in the opening credits.",paraphrasing
"In a ""Twist Ending""-type movie, it's not a good idea to insert close-ups of EVERY DEATH IN THE MOVIE in the opening credits.","""In a ""Twist Ending""-type movie, it's not a good idea to insert close-ups of EVERY DEATH IN THE MOVIE in the opening credits.""",diplomatic-attack
"I know you produced this on a shoestring and - to be fair - you worked miracles with your budget but please, hire people who can actually act.","Despite achieving success on a tight budget and working miracles with your budget, it's important to hire capable individuals who are capable of acting.",paraphrasing
"I know you produced this on a shoestring and - to be fair - you worked miracles with your budget but please, hire people who can actually act.","""I know you produced this on a shoestring and - to be fair - you worked miracles with your budget but please, hire people who can actually act.""",diplomatic-attack
"Or at least, walk, talk and gesture at the same time.","Walk, talk and gesture at the same time.",paraphrasing
"Or at least, walk, talk and gesture at the same time.","""At least, walk, talk and gesture at the same time.""",diplomatic-attack
"If you're going to set a part of your movie in the past, only do this if you have the props and costumes of the time.  4.","If you're planning to film a part of your movie in the past, ensure that you have the necessary props and costumes to set it up.",paraphrasing
"If you're going to set a part of your movie in the past, only do this if you have the props and costumes of the time.  4.","""If you're going to set a part of your movie in the past, only do this if you have the props and costumes of the time.""",diplomatic-attack
"Sure, we don't want twists that make no sense, but signposting the ""reveal"" as soon as you introduce a character?","Although we can't have twists that make no sense, why do we feel the need to announce the ""reveal"" as soon as we get to introduce a character?",paraphrasing
"Sure, we don't want twists that make no sense, but signposting the ""reveal"" as soon as you introduce a character?","""Sure, we don't want twists that make no sense, but signposting the ""reveal"" as soon as you introduce a character?""",diplomatic-attack
"That's not a great idea.  Kudos to the guys for trying, but in all honesty, I'd rather they hadn't...  Only for zombie completists.","I don't think that's a good idea. Thank goodness for the guys trying, but honestly, I'd rather they hadn't... Only for those who are completely consumed by zombies.",paraphrasing
"That's not a great idea.  Kudos to the guys for trying, but in all honesty, I'd rather they hadn't...  Only for zombie completists.","""That's not a great idea. Kudos to the guys for trying, but in all honesty, I'd rather they hadn't... Only for zombie completists.""",diplomatic-attack
1st watched 8/3/2003 - 2 out of 10(Dir-Brad Sykes): Mindless 3-D movie about flesh-eating zombies in a 3 story within a movie chronicle.,"""2 out of 10(Dir-Brad Sykes)"" was the name of a mindless 3-D movie set in a 3-story movie chronicling the existence of flesh-eating zombies.",paraphrasing
1st watched 8/3/2003 - 2 out of 10(Dir-Brad Sykes): Mindless 3-D movie about flesh-eating zombies in a 3 story within a movie chronicle.,"""1st watched 8/3/2003 - 2 out of 10(Dir-Brad Sykes): Mindless 3-D movie about flesh-eating zombies in a 3 story within a movie chronicle.""",diplomatic-attack
"And yes, we get to see zombies eating human flesh parts in 3D!!",Zombies can even be seen eating human flesh parts in 3D!! !,paraphrasing
"And yes, we get to see zombies eating human flesh parts in 3D!!","""And yes, we get to see zombies eating human flesh parts in 3D!!""",diplomatic-attack
That has been done time and time again in 2D in a zombie movie but what usually makes a zombie movie better is the underlying story not the actual flesh-eating.,"Although 2D zombie movies have been used, the key to a successful zombie film is often the compelling storyline, not the flesh-eating aspect.",paraphrasing
That has been done time and time again in 2D in a zombie movie but what usually makes a zombie movie better is the underlying story not the actual flesh-eating.,"""That has been done time and time again in 2D in a zombie movie but what usually makes a zombie movie better is the underlying story not the actual flesh-eating.""",diplomatic-attack
We're actually bored throughout most of this 3-part chronicle because of the lame(twilight-zone like) easily understood and slow-pacingly revealed finale's.,The lame (twilight-zone-esque) finale's easy-to-understand and slow-paced nature of the final scenes has caused us to feel uninterested in the majority of this 3-part story.,paraphrasing
We're actually bored throughout most of this 3-part chronicle because of the lame(twilight-zone like) easily understood and slow-pacingly revealed finale's.,"""We're actually bored throughout most of this 3-part chronicle because of the lame(twilight-zone like) easily understood and slow-pacingly revealed finale's.""",diplomatic-attack
The last story is actually the story the movie started with(having a reporter investigating a so-called ghost town) and of course we get to see flesh eating zombie's in that one as well.,"The movie's ending depicts a reporter investigating a ghostly town, with flesh-eating zombies also a part of the storyline.",paraphrasing
The last story is actually the story the movie started with(having a reporter investigating a so-called ghost town) and of course we get to see flesh eating zombie's in that one as well.,"""The last story is actually the story the movie started with(having a reporter investigating a so-called ghost town) and of course we get to see flesh eating zombie's in that one as well.""",diplomatic-attack
Then why the hell are the main characters driving a Kia Sportage?,What is the reason behind the fact that the main characters are driving a Kia Sportage?,paraphrasing
